DP(동적계획법)        경우의수를 구하라는 문제는 거의 DP 또한 뭔가 1부터 계속 n까지의 뭔가모를 점화식을 세울 수 있을 것같다면 1차원이든 2차원이든(for문2번쓰면됨) 으로 식세워서 풀어나가자. 초기 값 설정이 매우 중요하고 마지막 n일 때 자료형이 초과되지 않는지 살펴볼것!!!,"Top-down방법                                   1.문제를 작은 문제로 나눈다. 2 작은문제를 푼다. 3. 작은문제를 풀었으니 이제, 문제를 푼다.->재귀를 활용하는 방법","Bottom-up방법                                                 1.문제를 크기가 작은 문제부터 차례대로 푼다. 2.문제의 크기를 조금씩 크게 만들면서 점점 푼다(보통 포문을 시작부터 쭉 풀어나간다. 점화식과 시그마개념) 3. 작은문제를 풀면서 쭉 왔기 때문에, 큰문제는 항상 풀 수 있다. 그러다보면 언젠간 풀어야 하는 문제를 풀수 있다. 그리고 점화식이 1차원인 경우와 2차원인 경우가 있다!!!매우 중요!!!",
1463,1로만들기,1로만들 때 중요한 부분은 -1한 값은 일단 최소값을 가진 값이어야 된다는 점이다. 즉 작은 문제로 쪼갰ㅇ르 때 작은 문제는 이미 최소인 상태이므로 그 합이 큰문제의 답이 된다는 것이다. 그리고 *****1인경우 0인경우 2인경우도 잘 고려해서 for문을 돌려야 한다. ******그리고 조금 더 효율적으로 짜기 위해서는 일단 가장 우선순위가 낮은거 할당하고 그 뒤에 비교해서 값을 업데이트 하는 방법이 좋다. 예를들면 빼기1한거 값넣고 그 후에 2로 나눈거랑 비교하고 그후에 3으로 나눈거랑 비교하여 최종 값을 업데이트 하는 방식이다.,
11726,2Xn 타일링,,
11727,2Xn 타일링2,,
9095,"1,2,3 더하기",결국 1을 뺀 것들과 2를 뺀 것들 3을 뺀 것들의 합으로 이루어짐을 파악할 것 1을 뺀 것들의 결과는 2를 뺸 것들의 결과와 같지 않다. 또한 2는 2그자체도 있으므로 3가지임을 파악해야함!!,
10844,쉬운 계단 수,"이차원 동적계획법에 대한 문제이다. 이차원이라는 것은 마지막만 생각하는데 그 마지막의 경우의 수가 그 마지막 전에 즉 뒤에서 두번째 경우에 따라 마지막이 다른 경우를 말한다. 이 문제에서는 마지막에 1인경우 2인경우..9인경우 9가지들의 합으로 이루어져있다. 길이n 마지막 수k 두가지의 요소를 섞은 차원의 작은 문제들의 합을 구하고 최종적으로 전부 더해줘야 답이 나오는 형식이다. 매우 중요!!!그리고 초기화 잘 해주고, 크기 자료형을 잘 살펴보고 10000000으로 나누는것도 계속 해주는 것을 잊지 말것!!! ",
2193,이친 수,"어떤 경우의 수를 구하라는 문제는 보통 DP로 풀 수 있다. 그리고 작은 문제로 쪼개볼 생각을 시작해야 되는데 가장 쉬운 접근 방법은 맨 마지막 경우를 생각해보고 그 전 작은 결과의 합으로 표현하는 것이다. 이친수 문제도 맨 마지막에 올 수 있는 경우는 0인경우와 1인경우로만 나뉘고 1일때는 그 앞은 무조건 0이 와야 되고 그 앞은 아무거나 와도 괜찮다. 그러므로 n-1과 n-2의 합으로 표현할 수 있게 된다. **********매우 중요한 것은 검사할 때 1부터 90이므로 90이 자료형에 걸리는지 확인해햐 한다. 너무 큰 수기 떄문에 int배열이 아니라 long long 배열에 저장해야 하며, 출력형식은 printf(%lld,d[n]);으로 해주어야 한다.",
1699,제곱수의 합,,
2225,합분해,,
BFS(넓이 우선탐색),"dfs와 bfs의 차이는 bfs는 깊이가 정해져 있지 않아서 일단 계속 돌아다니면서 최소값을 찾는 문제이며, dfs는 특정 깊이까지 무조건 탐색을 해야하며, 그 특정깊이에 다다랐을 때의 최소값을 찾는 문제라 보면 된다. 여기서 최소값은 최대값이어도 되고 엇쨋든 최대 최소를 구하는데, 이동할 때 항상 같은 가중치로 이동하는 경우는 dfs,bfs문제로 풀린다. 다른 가중치라면 어려워지므로….그떄가서 생각하기!",,
